,pred
0,1211307.3010053944
1,1482768.3359868734
2,678955.4552407924
3,829915.380422067
4,626997.947739224
5,794893.2026607975
6,1099758.261120645
7,883915.6082933717
8,1126334.871034387
9,548326.401925254
10,560979.873813057
11,950763.6973395203
12,591304.6579227999
13,1220516.273519018
14,466878.2205403746
15,372847.06245418114
16,1125811.9410503411
17,470309.5499857122
18,1015422.0705138773
19,658017.9553717742
20,893024.3033509841
21,1499437.440128
22,281956.1161525342
23,2002933.5811388157
24,1090369.4802650686
25,1541357.0024502175
26,655841.1478665082
27,822188.3846115058
28,2318078.9558231547
29,616674.0198891615
30,1129142.7592246481
31,499611.26790070155
32,1573589.8032397088
33,773280.6942722352
34,1214377.9949266778
35,422096.1573387248
36,507810.1533679393
37,467507.05763696507
38,723137.9015448781
39,550072.632710838
40,1226256.9082095476
41,1754983.9453730225
42,2559617.8111694218
43,602602.8029636173
44,1421706.7344937897
45,1115766.5428272672
46,2025701.9385834723
47,1497025.3868417328
48,1414809.8512585647
49,538521.0440623728
50,608471.6385921659
51,913588.5343474956
52,676162.6910757576
53,654152.2664815786
54,718153.0741056293
55,1416822.7197390427
56,953697.9924975284
57,1607723.9075179647
58,1286032.6319820802
59,2921321.863997161
60,638354.8355389666
61,589326.7168171941
62,481778.1309556917
63,600970.9158569005
64,819596.2977319756
65,761817.1403601558
66,1173762.6939726267
67,512504.76480196835
68,602263.052366344
69,538969.1156665728
70,1638493.4091305304
71,897686.655074937
72,395871.7542274903
73,848760.2820879831
74,677807.6638536856
75,478917.1605691987
76,655097.545407127
77,1673561.817809979
78,1722558.1052143672
79,1174014.814237924
80,1617872.3678026248
81,413706.2479863727
82,647331.5553999301
83,511658.1479417872
84,1091011.430005615
85,1226543.1625394516
86,1775155.6695930427
87,634123.7153681777
88,429617.0963798324
89,977526.2274853368
90,1072117.2431531542
91,757568.2489689479
92,958910.5763212241
93,623984.9500625934
94,1686846.0063984874
95,706929.9985597946
96,1382420.889538108
97,454823.24818894605
98,427947.5576326951
99,1888785.1150048112
100,1773040.8010398648
101,497245.0426895055
102,1909148.517888985
103,429363.7861831489
104,821681.6392009729
105,1752495.6850393426
106,924910.2095613135
107,268934.5562284553
108,749971.479315845
109,1611155.310578391
110,1434902.2692413523
111,1017854.2492455583
112,1742355.013560883
113,744762.8314634683
114,620090.0136635001
115,350980.50739161926
116,2130175.163897783
117,414888.37622696045
118,859192.3283668503
119,642409.017030319
120,486727.19362923317
121,1440009.2970934198
122,511521.4355563411
123,515429.4720207901
124,654901.2639636603
125,1783305.953603909
126,896242.2980846061
127,331251.4858189678
128,480591.9944175185
129,1110189.2206435732
130,1153671.9531454835
131,2061636.3862549085
132,1556388.431917299
133,645825.9995443254
134,1394508.0432289974
135,1945740.2034056361
136,2116583.9250918943
137,1024255.554453802
138,924246.2238109664
139,1214740.0948386681
140,1346021.9143207711
141,689434.2268833054
142,1033791.803758601
143,551368.2680273248
144,1572872.398970764
145,604314.4116101662
146,819658.8163118577
147,1698412.9629164913
148,266074.080472092
149,423888.47422157263
150,474770.90165682643
151,988096.6182115311
152,629013.2611425908
153,617632.2349738828
154,1123476.1606669577
155,2454730.532703819
156,872801.9420372752
157,1744107.905087553
158,510951.1723363661
159,419997.8861355963
160,933075.6787305834
161,1180784.9560023935
162,736612.3346932037
163,2272968.3682755525
164,939005.4509549878
165,789976.7853925517
166,1646731.8640494994
167,485168.91117474966
168,809794.6462221926
169,1444355.4269911423
170,2299403.752555925
171,604063.9179977397
172,754284.7369497643
173,2424443.689069941
174,956022.6920334775
175,285083.43888904224
176,1301979.9718552937
177,785568.4707207642
178,1192198.7827788792
179,1477170.21830626
180,620769.5943040758
181,880240.8836615761
182,1368149.1672168262
183,471763.5234597603
184,1171689.2622447785
185,1765270.4291724924
186,696918.6961492454
187,949610.0657766591
188,1195239.5576272942
189,1807386.8225278629
190,1217311.0688980664
191,855768.5598666928
192,1124153.3092539294
193,1117612.5685691906
194,2027079.470411431
195,1309806.424007299
196,586268.5193360132
197,893217.2881443496
198,1654051.6300095771
199,540540.5410388922
200,650734.2264158316
201,755955.0301473754
202,962879.480861233
203,645300.4751817259
204,1068233.7878693638
205,909053.9057041907
206,763996.0106391744
207,817686.5974678998
208,1034564.7684735325
209,569735.3918941843
210,1111429.879741801
211,1064196.7977123484
212,427795.4943365284
213,1974790.6861387226
214,1127323.6690463373
215,2194194.2882392383
216,1864913.1445419707
217,1513296.1848152622
218,406881.61603219697
219,691057.6641299872
220,587215.772828839
221,714429.1274592413
222,891734.6107111094
223,1733163.1604161488
224,1374848.3600758628
225,2204732.8466452584
226,1064955.3239614486
227,1235547.1223450094
228,496504.1671592436
229,935128.8466852506
230,423131.5293104267
231,639341.7757952098
232,1030720.1523318501
233,483278.9911852325
234,390500.0311086506
235,1640914.8340346918
236,903012.9129884628
237,687666.2375300212
238,1881355.7838695913
239,563777.1980173286
240,1397357.4745840759
